LocationType,Location,TimeFrame,DataFormat,Data
State,Nevada,2006,Number,40027
State,Nevada,2007,Number,41181
State,Nevada,2008,Number,39506
State,Nevada,2005,Number,37268
State,Nevada,2003,Number,33647
State,Nevada,2004,Number,35200
State,Nevada,2001,Number,31382
State,Nevada,2002,Number,32571
State,Nevada,1998,Number,28699
State,Nevada,1999,Number,29362
State,Nevada,2000,Number,30829
State,Nevada,1997,Number,26911
State,Nevada,1995,Number,25056
State,Nevada,1996,Number,26125
State,Nevada,1993,Number,22403
State,Nevada,1994,Number,23911
State,Nevada,1990,Number,21599
State,Nevada,1991,Number,22026
State,Nevada,1992,Number,22374
State,New Hampshire,1992,Number,15990
State,New Hampshire,1991,Number,16341
State,New Hampshire,1990,Number,17569
State,New Hampshire,1994,Number,15106
State,New Hampshire,1993,Number,15436
State,New Hampshire,1996,Number,14520
State,New Hampshire,1995,Number,14665
State,New Hampshire,1997,Number,14313
State,New Hampshire,2000,Number,14609
State,New Hampshire,1999,Number,14041
State,New Hampshire,1998,Number,14429
State,New Hampshire,2002,Number,14442
State,New Hampshire,2001,Number,14656
State,New Hampshire,2004,Number,14565
State,New Hampshire,2003,Number,14393
State,New Hampshire,2005,Number,14420
State,New Hampshire,2008,Number,13683
State,New Hampshire,2007,Number,14168
State,New Hampshire,2006,Number,14378
State,New Hampshire,2013,Number,12396
State,New Hampshire,2009,Number,13377
State,New Hampshire,2010,Number,12874
State,New Hampshire,2015,Number,12433
State,New Hampshire,2011,Number,12851
State,New Hampshire,2012,Number,12352
State,New Hampshire,2014,Number,12302
State,New Hampshire,2016,Number,12267
State,New Jersey,2016,Number,102647
State,New Jersey,2014,Number,103305
State,New Jersey,2012,Number,104230
State,New Jersey,2011,Number,105883
State,New Jersey,2015,Number,103127
State,New Jersey,2010,Number,106922
State,New Jersey,2009,Number,110331
State,New Jersey,2013,Number,102575
State,New Jersey,2006,Number,115020
State,New Jersey,2007,Number,116063
State,New Jersey,2008,Number,112710
State,New Jersey,2005,Number,113776
State,New Jersey,2003,Number,116983
State,New Jersey,2004,Number,115253
